N;Place;A;B;C;P;Link
747;Егоров;6,2;3,1;1,2;доломит;Панин, 2018
748;Егоров;3,5;2,1;1,4;доломит;Панин, 2018
749;Егоров;4,9;3,3;2;кремень;Панин, 2018
750;Егоров;4,5;4;1,4;доломит;Панин, 2018
751;Егоров;4,5;3,2;2,9;доломит;Панин, 2018
752;Егоров;5,1;4;2;кремень;Панин, 2018
753;Егоров;4,9;3,5;1;доломит;Панин, 2018
754;Егоров;4,5;2,6;0,9;известняк;Панин, 2018
755;Егоров;4,6;3,9;0,7;доломит;Панин, 2018
756;Егоров;2,9;2;1;доломит;Панин, 2018
757;Егоров;6,1;3,4;2,9;кирпич;Панин, 2018
758;Егоров;3,7;3,5;2;кремень;Панин, 2018
759;Егоров;5;2,9;1,7;доломит;Панин, 2018
760;Егоров;4,3;2;1,1;алевролит;Панин, 2018
761;Егоров;2,9;2;0,4;известняк;Панин, 2018
762;Егоров;4;3,6;0,7;известняк;Панин, 2018
763;Егоров;4;3,5;0,9;доломит;Панин, 2018
764;Егоров;2,5;2,1;1,1;шокс. Кварцит;Панин, 2018
765;Егоров;2;1,2;0,5;габбро;Панин, 2018
766;Егоров;2,1;1,8;0,4;доломит;Панин, 2018
767;Егоров;2;1,9;0,9;кремень;Панин, 2018
768;Егоров;3,9;3,1;2,5;известняк;Панин, 2018
769;Егоров;5;3,5;3,2;шокс. Кварцит;Панин, 2018
770;Егоров;3;2,2;2;кварцит;Панин, 2018
771;Егоров;5;2;1,8;доломит;Панин, 2018
772;Егоров;4,7;2;1,5;кремень;Панин, 2018
773;Егоров;4;3;2,5;известняк;Панин, 2018
774;Егоров;3,2;2,2;1,3;доломит;Панин, 2018
775;Егоров;3,3;2;1;известняк;Панин, 2018
776;Егоров;4,5;3,9;1,1;доломит;Панин, 2018
777;Егоров;4;3;1,6;известняк;Панин, 2018
778;Егоров;4;2,5;2;кремень;Панин, 2018
779;Егоров;6,1;4,2;1,5;известняк;Панин, 2018
780;Егоров;2,1;1,7;1;мергель;Панин, 2018
781;Егоров;3,5;2,5;1,1;доломит;Панин, 2018
782;Егоров;3,5;2,4;1,8;доломит;Панин, 2018
783;Егоров;4,9;4;1,3;кремень;Панин, 2018
784;Егоров;4,5;3;1;известняк;Панин, 2018
785;Егоров;5,2;3,3;2,5;доломит;Панин, 2018
786;Егоров;3;2,6;1,5;травертин;Панин, 2018
787;Егоров;5,5;3,6;2,4;доломит;Панин, 2018
788;Егоров;4;3,1;0,9;доломит;Панин, 2018
789;Егоров;2,5;2,1;1,9;доломит;Панин, 2018
790;Егоров;3,5;2,9;1,2;известняк;Панин, 2018
791;Егоров;4,2;2,6;2,1;доломит;Панин, 2018
792;Егоров;2,1;1,2;1,1;известняк;Панин, 2018
793;Егоров;3,4;2,5;1,4;гранит-пегматит;Панин, 2018
794;Егоров;3,1;2;1;кальцит;Панин, 2018
795;Егоров;3,7;2,5;1,9;доломит;Панин, 2018
796;Егоров;3,5;2,7;1;известняк;Панин, 2018
797;Егоров;3,1;3;1,1;кремень;Панин, 2018
798;Егоров;3,6;2;0,9;шокс. Кварцит;Панин, 2018
799;Егоров;3,9;2,1;1;мергель;Панин, 2018
800;Егоров;2,1;1,9;0,9;известняк;Панин, 2018
801;Егоров;2,9;1,2;1;гранит-пегматит;Панин, 2018
802;Егоров;2,4;1,1;0,9;известняк;Панин, 2018
803;Егоров;3;2,1;1,5;кварцит;Панин, 2018
804;Егоров;3,5;2,2;1,1;доломит;Панин, 2018
805;Егоров;3,3;2,2;1,4;известняк;Панин, 2018
806;Егоров;2,1;1,5;1;кремень;Панин, 2018
807;Егоров;2,4;2,3;1,5;известняк;Панин, 2018
808;Егоров;1,2;1,1;0,4;мергель;Панин, 2018
809;Егоров;3,9;3;1,1;кремень;Панин, 2018
810;Егоров;3;2,5;1,2;габбро;Панин, 2018
810;Пойма;5,1;2,1;2;известняк;Панин, 2018
810;Пойма;4,4;2;1,9;кремень;Панин, 2018
810;Пойма;3,8;3,5;1,5;кремень;Панин, 2018
810;Пойма;4,2;3;2;кремень;Панин, 2018
810;Пойма;3;2,1;1;кремень;Панин, 2018
810;Пойма;2,9;1,9;1,1;кремень;Панин, 2018
810;Пойма;3,5;2,9;1;шокш. Кварцит;Панин, 2018
810;Пойма;4,1;2,5;2;кремень;Панин, 2018
810;Пойма;4;2,4;2,1;кремень;Панин, 2018
810;Пойма;3,9;3;2,1;кремень;Панин, 2018
810;Пойма;3;2,1;1,5;известняк;Панин, 2018
810;Пойма;3,4;3,3;1,4;кварцит;Панин, 2018
810;Пойма;3,1;1,9;1,8;кварцит;Панин, 2018
810;Пойма;4,5;4,2;3;кварцит;Панин, 2018
810;Пойма;3;2;1;кремень;Панин, 2018
810;Пойма;5;3,4;2;гранит;Панин, 2018
810;Пойма;3,5;2,1;1,5;гранит;Панин, 2018
810;Пойма;4,5;3;2;известняк;Панин, 2018
810;Пойма;4,1;2,5;1,9;кремень;Панин, 2018
810;Пойма;4,2;3,5;1,8;кварцит;Панин, 2018
810;Пойма;3,5;2,4;0,3;кремень;Панин, 2018
810;Пойма;4;2,5;1;известняк;Панин, 2018
810;Пойма;4;2,4;1,4;известняк;Панин, 2018
810;Пойма;3,8;2,5;1;известняк;Панин, 2018
810;Пойма;5;3;1,3;известняк;Панин, 2018
810;Пойма;3;2,5;2,4;известняк;Панин, 2018
810;Пойма;4;3,3;1;известняк;Панин, 2018
810;Пойма;5,1;3,5;3;известняк;Панин, 2018
810;Пойма;3,7;2,4;2,3;кварцит;Панин, 2018
810;Пойма;4,1;2,4;0,7;гранит;Панин, 2018
810;Пойма;3,4;3,9;0,9;известняк;Панин, 2018
810;Пойма;5;3,9;0,7;известняк;Панин, 2018
810;Пойма;5,1;3,6;1;известняк;Панин, 2018
810;Пойма;3;3,5;2,1;кремень;Панин, 2018
810;Пойма;4,1;2;0,5;кремень;Панин, 2018
810;Пойма;3,5;2,9;1,8;известняк;Панин, 2018
810;Пойма;3;2,6;1;кремень;Панин, 2018
810;Пойма;3,9;2,7;0,9;известняк;Панин, 2018
810;Пойма;3,4;2,7;1;кремень;Панин, 2018
810;Пойма;5,5;3;0,9;кварцит;Панин, 2018
810;Пойма;3,5;3;1;кремень;Панин, 2018
810;Пойма;3,4;2;11;известняк;Панин, 2018
810;Пойма;3,1;3;1,9;кремень;Панин, 2018
810;Пойма;4,1;2;1,5;кварцит;Панин, 2018
810;Пойма;2,6;1,5;1;кварцит;Панин, 2018
810;Пойма;2,5;1,8;1,1;известняк;Панин, 2018
810;Пойма;4,6;3;1;кварцит;Панин, 2018
810;Пойма;4,2;4;2;кремень;Панин, 2018
810;Пойма;3,5;3;2,6;гранит;Панин, 2018
810;Пойма;4,6;3,5;3;кремень;Панин, 2018
810;Пойма;4,2;3;1,5;габбро;Панин, 2018
810;Пойма;5,3;2,9;2;кварцит;Панин, 2018
810;Пойма;4,1;2,5;2,4;кремень;Панин, 2018
810;Пойма;3,2;2,6;2,5;кварцит;Панин, 2018
810;Пойма;4,6;2,9;2;кремень;Панин, 2018
810;Пойма;3;2;1,1;известняк;Панин, 2018
810;Пойма;5,1;3;2,1;кварцит;Панин, 2018
810;Пойма;4;2,5;2;известняк;Панин, 2018
810;Пойма;3,5;2,6;0,8;кремень;Панин, 2018
810;Пойма;3;2,5;1,5;кварцит;Панин, 2018
810;Пойма;3,5;2,8;1,1;кремень;Панин, 2018
810;Пойма;3,5;2,4;2,1;гранит;Панин, 2018
810;Пойма;3;2,1;1,5;кремень;Панин, 2018
810;Пойма;2,5;2,4;1,6;известняк;Панин, 2018
810;Пойма;3,5;2,4;1;кремень;Панин, 2018
810;Пойма;4;2;1;известняк;Панин, 2018
810;Пойма;2,5;2,5;1,3;кремень;Панин, 2018
810;Пойма;2,8;1,7;2;кварцит;Панин, 2018
810;Пойма;5,4;2;1,9;кремень;Панин, 2018
810;Пойма;4,5;2,1;1,2;кремень;Панин, 2018
810;Пойма;2;2,8;0,6;известняк;Панин, 2018
810;Пойма;3;2,3;0,8;кремень;Панин, 2018
810;Пойма;4;3,6;1,5;кремень;Панин, 2018
810;Пойма;3,5;2,5;1;известняк;Панин, 2018
810;Пойма;3,3;2,4;2;кремень;Панин, 2018
810;Пойма;5;4,5;1,2;известняк;Панин, 2018
810;Пойма;5;1,5;1;кремень;Панин, 2018
810;Пойма;3,9;3,5;2;известняк;Панин, 2018
810;Пойма;3,5;3;1,5;кремень;Панин, 2018
810;Пойма;5,1;4;1;кремень;Панин, 2018
810;Пойма;4;3,5;2,5;известняк;Панин, 2018
810;Пойма;4;3,5;2;кремень;Панин, 2018
810;Пойма;3,5;3;2;кремень;Панин, 2018
810;Пойма;4,5;3;1,5;известняк;Панин, 2018
810;Пойма;3,5;3;1;кремень;Панин, 2018
810;Пойма;4;3,5;2;гранит;Панин, 2018
810;Пойма;4;2;1,8;кремень;Панин, 2018
810;Пойма;3;3;1,8;гранит;Панин, 2018
810;Пойма;4;3,6;2;известняк;Панин, 2018
810;Пойма;4,5;2,5;1,7;кремень;Панин, 2018
810;Пойма;3,5;2,6;1,6;кремень;Панин, 2018
810;Пойма;3,4;3;1,8;доломит;Панин, 2018
810;Пойма;4;3,6;2,1;кремень;Панин, 2018
810;Пойма;4,1;2,4;1,7;кремень;Панин, 2018
810;Пойма;3,5;2,2;1,1;кремень;Панин, 2018
810;Пойма;3,2;2,2;1,6;кремень;Панин, 2018
810;Пойма;4,1;3,1;2,3;известняк;Панин, 2018
810;Пойма;2,2;2;1,8;гранит;Панин, 2018
810;Пойма;3,6;2,7;0,9;известняк;Панин, 2018
810;Пойма;4,5;2,7;0,7;известняк;Панин, 2018
810;Пойма;4,6;4,2;0,6;кремень;Панин, 2018
810;Пойма;3,2;2,7;1,4;известняк;Панин, 2018
810;Пойма;2,9;2,4;1,1;кремень;Панин, 2018
810;Пойма;3,2;2,7;1,2;кремень;Панин, 2018
810;Пойма;4,5;2,9;1,3;кремень;Панин, 2018
810;Пойма;3,7;2,1;1,2;доломит;Панин, 2018
810;Пойма;2,6;3,2;2,2;кремень;Панин, 2018
810;Пойма;2,8;3,1;1,4;кремень;Панин, 2018
810;Пойма;3,6;1,5;1,5;кварцит;Панин, 2018
810;Пойма;3,6;2,3;1,6;известняк;Панин, 2018
810;Пойма;3,2;2,6;1,1;гранит;Панин, 2018
810;Пойма;2,8;2;1,1;кремень;Панин, 2018
810;Пойма;4,2;2,3;1,2;кварцит;Панин, 2018
810;Пойма;2,5;2,1;0,6;кремень;Панин, 2018
810;Пойма;3,6;2,6;2,1;кремень;Панин, 2018
810;Пойма;2,5;2,6;2;шокш. Кварцит;Панин, 2018
810;Пойма;3,6;1,6;1,3;кремень;Панин, 2018
810;Пойма;2,5;1,5;1,2;известняк;Панин, 2018
810;Пойма;2,6;1,8;1,1;известняк;Панин, 2018
810;Пойма;2,4;1,9;1,5;известняк;Панин, 2018
810;Пойма;2,5;2,5;1,5;доломит;Панин, 2018
810;Пойма;2;2,7;0,5;известняк;Панин, 2018
810;Пойма;3;2,5;1,4;мергель;Панин, 2018
810;Пойма;3;2,7;0,7;известняк;Панин, 2018
810;Пойма;3,1;2;1,8;кремень;Панин, 2018
